COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_FULLY_VACCINATED,PERSONS_FULLY_VACCINATED_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,PERSONS_BOOSTER_ADD_DOSE,PERSONS_BOOSTER_ADD_DOSE_PER100,lat,lng
Germany,DEU,EURO,REPORTING,2/5/2023,193082244,64860855,232.2,77.989,63556624,76.421,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Moderna – Spikevax Bivalent Original/Omicron  - Generic,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Pfizer BioNTech - Comirnaty Bivalent Original/Omicron - Generic,Unknown Vaccine,Valneva - VLA2001",12/23/2020,9,52120807,62.67,51.165691,10.451526
Ghana,GHA,AFRO,REPORTING,1/15/2023,22384226,12853113,72.038,41.364,9806758,31.56,"Gamaleya - Gam-Covid-Vac,SII - Covishield",3/2/2021,2,3102301,9.984,7.946527,-1.023194
Gibraltar,GIB,EURO,OWID,12/16/2022,132810,42175,394.2,125.182,41465,123.074,"AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",,2,49170,145.944,36.137741,-5.345374
Greece,GRC,EURO,REPORTING,2/5/2023,21971203,7914783,205,73.842,7742650,72.236,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Pfizer BioNTech - Comirnaty Bivalent Original/Omicron BA.1,Pfizer BioNTech - Comirnaty Bivalent Original/Omicron BA.4/BA.5",12/23/2020,7,5902134,55.065,39.074208,21.824312
Greenland,GRL,EURO,OWID,3/14/2022,79738,41227,140.453,72.619,38511,67.834,Moderna - mRNA-1273,,1,,,71.706936,-42.604303
Grenada,GRD,AMRO,REPORTING,2/10/2023,90507,44180,80.434,39.263,38975,34.637,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",2/15/2021,5,7352,6.534,12.262776,-61.604171
Guadeloupe,GLP,AMRO,REPORTING,2/10/2023,398103,151648,99.495,37.9,145679,36.408,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",1/8/2021,7,88633,22.151,16.995971,-62.067641
Guam,GUM,WPRO,REPORTING,8/23/2022,368088,155225,218.094,91.972,141014,83.551,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",1/4/2021,3,72131,42.738,13.444304,144.793731
Guatemala,GTM,AMRO,REPORTING,2/10/2023,20160469,8898028,112.53,49.666,7082462,39.532,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",2/25/2021,5,3647335,20.358,15.783471,-90.230759
Guernsey,GGY,EURO,OWID,12/19/2022,178525,54223,276.92,84.108,52710,81.761,"Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",,3,69339,107.556,49.465691,-2.585278
Guinea,GIN,AFRO,REPORTING,2/26/2023,10624849,7661653,80.903,58.34,4708784,35.855,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",3/5/2021,6,301143,2.293,9.945587,-9.696645
Guinea-Bissau,GNB,AFRO,REPORTING,3/5/2023,593508,556228,30.158,28.264,393036,19.971,"Beijing CNBG - BBIBP-CorV,SII - Covishield",4/2/2021,2,962,0.049,11.803749,-15.180413
